user,gender,dob,height_cm,weight_kg,currentlocation,sweats,coldhf,exercise
nb1226DM,M,1987/05/28,166,82.7,"Mexico City, Mexico",N,N,Once per week
hg3580dQ,M,1992/07/30,187,66.4,"Nice, France",N,Y,Every other day
XX9177Oj,M,1986/10/24,169,62.8,"Vienna, Austria",Y,Y,A couple of times per week
hV1213CT,M,1988/12/31,179,64.1,"Colonia del Sacramento, Uruguay",N,N,Once per week
MZ3882QI,M,1983/08/02,168,48.0,"Cuenca, Ecuador",Y,N,Every other day
cu6138tZ,M,2001/10/30,181,75.4,"Antalya, Turkey",Y,Y,A couple of times per week
db7376xS,M,1986/07/20,178,95.1,"Douala, Cameroon",Y,Y,Every day
VU8377Qe,M,1993/04/07,184,57.6,"Rome, Italy",Y,Y,A couple of times per week
Ki3310sA,M,1996/02/29,174,90.8,"Pyongyang, North Korea",Y,Y,Once per week
TI6873xa,M,1999/09/12,176,62.0,"Johannesburg, South Africa",N,N,Every other day
Og0282Gh,M,1987/10/11,181,52.4,"Copenhagen, Denmark",Y,N,Every day
AJ4642Dh,M,2000/07/17,178,76.0,"Johannesburg, South Africa",N,Y,A couple of times per week
hR5971YS,M,2002/11/12,191,69.3,"Addis Ababa, Ethiopia",Y,N,Every other day
ZG0778Al,M,1988/04/14,185,71.9,"Mumbai, India",Y,N,Every day
Tz6919nD,M,2002/05/23,180,61.6,"El Calafate, Argentina",N,Y,A couple of times per week
tq6521yb,M,2001/01/13,181,78.6,"Cancun, Mexico",Y,N,Every day
KV3879Ge,M,1984/04/01,180,68.0,"El Calafate, Argentina",N,Y,A couple of times per week
LS3892mG,M,1985/03/11,180,71.3,"Bogota, Colombia",Y,Y,A couple of times per week
jc7586AQ,M,2002/04/23,168,73.4,"Pyongyang, North Korea",N,Y,A couple of times per week
am1374FJ,M,1988/08/19,187,76.9,"Jeddah, Saudi Arabia",N,Y,A couple of times per week
Th1898EY,M,2001/03/12,176,71.2,"Dhaka, Bangladesh",N,N,Never
JU4860nu,M,1989/10/03,181,85.2,"Georgetown, Guyana",Y,N,Once per week
vg3243ag,M,1988/09/29,174,66.6,"Guayaquil, Ecuador",N,N,1 or 2 times per month
hC5829cA,M,1995/12/11,179,92.9,"Algiers, Algeria",Y,Y,Every other day
gR4134xz,M,1998/08/18,178,66.5,"Lubumbashi, Republic of the Congo",Y,Y,1 or 2 times per month
Ti8226nV,M,2001/11/26,182,76.2,"Kuala Lumpur, Malaysia",Y,Y,A couple of times per week
eF5504Is,M,2005/03/29,183,70.3,"Istanbul, Turkey",Y,Y,A couple of times per week
OX9975Pd,M,2003/12/17,181,78.6,"Soweto, South Africa",Y,N,A couple of times per week
pq1610bW,M,1996/06/25,184,64.3,"Tehran, Iran",Y,N,Every day
vA0080wJ,M,2006/06/05,177,90.9,"Yaounde, Cameroon",Y,Y,Every other day
QV9205bh,M,1993/12/14,179,54.5,"Rabat, Morocco",N,N,Once per week
px8029lB,M,1992/07/08,200,92.0,"San Francisco, United States",N,Y,Every day
Uy8320UQ,M,1983/02/23,180,74.5,"Toronto, Canada",N,Y,A couple of times per week
yi6517XN,M,1987/08/07,170,86.7,"Rome, Italy",Y,N,1 or 2 times per month
EW7254bR,M,2006/06/06,175,73.5,"Hanoi, Vietnam",Y,Y,Every other day
da4105MM,M,1985/01/29,180,71.3,"Dar es Salaam, Tanzania",Y,Y,A couple of times per week
ko1257RK,M,1988/01/10,184,101.6,"Honolulu, United States",N,Y,1 or 2 times per month
bL3485sc,M,1997/10/12,184,115.1,"Montevideo, Uruguay",Y,Y,Once per week
GP6259nv,M,2006/03/14,180,71.3,"Phnom Penh, Cambodia",Y,N,A couple of times per week
cD0850ib,M,1985/04/05,181,68.8,"Amsterdam, Netherlands",Y,N,A couple of times per week
oc3889nt,M,1984/07/17,166,55.1,"Istanbul, Turkey",Y,Y,Once per week
bE4659yk,M,1995/09/04,171,87.7,"Bengaluru, India",Y,Y,Every other day
bV6488iB,M,1997/02/28,181,72.1,"Douala, Cameroon",Y,Y,A couple of times per week
YV9647nX,M,1998/02/14,185,65.0,"Rome, Italy",N,Y,A couple of times per week
iM9251ST,M,1999/05/16,157,64.1,"Pyongyang, North Korea",Y,Y,Never
cB6204BU,M,1996/04/18,184,64.3,"Heraklion, Greece",N,Y,A couple of times per week
iD8146TY,M,2002/04/08,184,64.3,"Cape Town, South Africa",N,N,A couple of times per week
Ip9253Dm,M,1986/10/30,185,82.1,"Benin City, Nigeria",Y,N,Every other day
uG2582Cd,M,2000/09/08,182,66.2,"Phnom Penh, Cambodia",Y,N,A couple of times per week
de6281ya,M,2000/06/18,181,68.8,"Antananarivo, Madagascar",Y,Y,A couple of times per week
ab9303fS,M,2004/08/10,184,98.2,"Dakar, Senegal",Y,N,A couple of times per week
lR5114SK,M,2005/04/14,174,51.5,"Osaka, Japan",Y,N,Every day
xW6596bC,M,2001/12/05,184,98.2,"Busan, South Korea",N,Y,Every other day
Vm9456hK,M,1999/05/28,184,64.3,"Ho Chi Minh City, Vietnam",Y,N,A couple of times per week
xu1126JX,M,1987/02/06,180,61.6,"La Paz, Bolivia",Y,Y,A couple of times per week
Tm2248GE,M,1995/07/07,185,95.8,"Harare, Zimbabwe",Y,N,A couple of times per week
ku2542Ru,M,2002/09/05,176,83.6,"Luanda, Angola",Y,Y,A couple of times per week
EC8601RM,M,1992/01/04,181,68.8,"Guayaquil, Ecuador",Y,N,Every other day
Gh7362ng,M,1993/03/03,171,67.3,"Budapest, Hungary",Y,Y,Never
en5784ND,M,1993/07/26,180,64.8,"Khartoum, Sudan",Y,Y,Never
mY4953vj,M,2000/08/27,172,71.0,"Surat, India",N,Y,A couple of times per week
OZ1339sD,M,1987/12/01,178,95.1,"Accra, Ghana",Y,Y,Every other day
uC4816tF,M,2002/09/17,183,80.4,"Cartagena, Colombia",Y,Y,A couple of times per week
vd6159El,M,2002/03/24,174,69.6,"Istanbul, Turkey",N,Y,A couple of times per week
xg4483vx,M,1999/06/01,180,64.8,"Prague, Czech Republic",Y,Y,Every day
cQ1573HS,M,2003/12/07,176,74.3,"Nairobi, Kenya",Y,Y,Every other day
Rd9442FZ,M,1997/12/30,183,73.7,"Los Angeles, United States",N,Y,Once per week
VD5837iz,M,1999/08/10,185,85.6,"Seoul, South Korea",Y,Y,1 or 2 times per month
vx3774Cv,M,2004/12/10,175,70.4,"Rome, Italy",N,Y,Once per week
cm7551zs,M,2005/03/31,182,62.9,"Colonia del Sacramento, Uruguay",Y,Y,Every day
dd5254LA,M,1991/09/30,185,71.9,"Miami, United States",N,Y,A couple of times per week
XL3861Bj,M,1996/12/05,181,104.8,"Durban, South Africa",Y,N,Never
NH4708fP,M,2005/10/12,176,65.0,"Soweto, South Africa",Y,Y,Every other day
qu1659bE,M,2005/09/25,183,87.1,"Ushuaia, Argentina",N,Y,Every other day
pk9182fC,M,1986/08/11,183,67.0,"Rome, Italy",N,Y,Every other day
EX6747eh,M,1991/11/27,177,103.4,"Amsterdam, Netherlands",Y,Y,Every other day
zG5046Pl,M,2001/01/08,169,65.7,"Hanoi, Vietnam",Y,N,1 or 2 times per month
Nf3528Ru,M,2006/03/30,184,74.5,"Hyderabad, India",Y,N,Once per week
eu2440zJ,M,1990/01/04,177,90.9,"Mar del Plata, Argentina",Y,Y,Every day
yK9805wB,M,1996/07/28,179,108.9,"Georgetown, Guyana",Y,Y,Once per week
Px0224vt,M,1998/11/22,184,64.3,"Khartoum, Sudan",Y,Y,A couple of times per week
Vy6196ci,M,2002/05/06,180,68.0,"Yangon, Myanmar",Y,Y,Once per week
Lt7286nr,M,2001/05/10,177,62.7,"Florence, Italy",N,N,A couple of times per week
NV1315xN,M,1988/12/29,185,85.6,"Brazzaville, DR Congo",N,N,Every day
Ls4510dt,M,1999/04/26,183,63.6,"Dubai, United Arab Emirates",Y,N,Once per week
nO9138pn,M,1998/11/09,182,89.4,"Manila, Philippines",Y,N,A couple of times per week
Qz5027ZT,M,1984/07/09,182,69.6,"Milan, Italy",Y,Y,Once per week
pu3379qZ,M,1983/09/19,184,74.5,"Addis Ababa, Ethiopia",Y,N,Never
iE1728GL,M,1994/10/02,181,81.9,"Perth, Australia",N,Y,A couple of times per week
Hn7179pV,M,1986/12/30,162,57.7,"Damascus, Syria",Y,Y,A couple of times per week
uP8443iq,M,2001/10/04,174,87.8,"Kyoto, Japan",Y,Y,Once per week
Bg5930Lt,M,1989/08/08,182,92.7,"Melbourne, Australia",Y,Y,Never
dx5958fW,M,1990/03/17,180,64.8,"Taipei, Taiwan",Y,Y,Every other day
RI8731Da,M,1999/11/19,187,104.9,"Dubai, United Arab Emirates",Y,Y,A couple of times per week
uj4248Mn,M,2003/02/20,183,67.0,"Munich, Germany",N,N,Never
Ym5969Bv,M,1988/12/17,182,69.6,"Yaounde, Cameroon",Y,Y,Once per week
Cn7002sb,M,2002/08/02,172,71.0,"Mexico City, Mexico",Y,Y,Once per week
Gf9719qY,M,1991/09/27,174,75.7,"Busan, South Korea",Y,Y,A couple of times per week
AA9648Fm,M,1997/07/05,174,63.6,"Karachi, Pakistan",Y,Y,A couple of times per week
UF4282RQ,M,2003/08/21,171,58.5,"Dublin, Ireland",Y,Y,Never
BM2788Bd,M,2005/03/28,183,70.3,"Alexandria, Egypt",N,Y,A couple of times per week
eW4999Kw,M,1982/09/02,178,66.5,"Copenhagen, Denmark",N,Y,Never
TU0004Ni,M,2005/05/22,196,115.2,"Abidjan, Ivory Coast",Y,Y,Once per week
Tl5207Ns,M,1982/09/22,178,60.2,"Brussels, Belgium",N,Y,Every day
zU7445JO,M,2002/01/04,177,72.1,"Kumasi, Ghana",N,N,Every other day
dB4359vm,M,1994/03/27,182,89.4,"Rio de Janeiro, Brazil",N,Y,A couple of times per week
qB4387gS,M,2002/10/13,175,82.7,"Kolkata, India",Y,Y,A couple of times per week
li2251hM,M,1993/06/12,178,66.5,"Baghdad, Iraq",N,Y,A couple of times per week
ct8999wj,M,1998/08/21,181,88.5,"Shanghai, China",N,N,Every other day
EC8571wR,M,1993/05/02,180,61.6,"Sydney, Australia",N,Y,Once per week
hD0376Fv,M,1998/07/01,183,63.6,"London, United Kingdom",Y,Y,Every other day
Af0693uR,M,1986/09/08,181,72.1,"Heraklion, Greece",Y,N,A couple of times per week
du2285Qc,M,2000/03/29,181,78.6,"Kumasi, Ghana",Y,Y,1 or 2 times per month
Te7805GX,M,1991/12/19,177,78.3,"Frankfurt, Germany",Y,N,Every other day
MP0179Nm,M,1991/08/28,175,61.2,"Copenhagen, Denmark",Y,Y,A couple of times per week
tS3735cs,M,1988/05/17,182,96.1,"Antananarivo, Madagascar",Y,Y,Once per week
im9369Hv,M,1995/04/04,177,72.1,"Jeddah, Saudi Arabia",Y,N,Every other day
St9221UU,M,1995/05/24,181,72.1,"Hanoi, Vietnam",Y,Y,1 or 2 times per month
or4181Ds,M,2003/01/04,157,71.5,"Bengaluru, India",Y,Y,Every other day
in4560nJ,M,1984/05/22,183,80.4,"Cancun, Mexico",Y,Y,A couple of times per week
FD8486rS,M,2005/02/13,185,95.8,"Lubumbashi, Republic of the Congo",N,Y,A couple of times per week
XR5334fg,M,1994/04/11,174,57.5,"Conakry, Guinea",N,Y,Once per week
Hb1429rF,M,2001/04/23,174,66.6,"Singapore, Singapore",N,Y,A couple of times per week
tW6949Pa,M,1985/03/23,177,72.1,"Las Vegas, United States",Y,Y,Every day
ow6085NK,M,1990/09/04,180,64.8,"Christchurch, New Zealand",Y,N,Once per week
jQ6435yP,M,1992/09/29,167,58.6,"Melbourne, Australia",N,Y,Every other day
em3246DL,M,1986/02/11,177,87.7,"Addis Ababa, Ethiopia",Y,Y,A couple of times per week
Ec3385NW,M,1989/12/02,180,74.5,"Jakarta, Indonesia",N,Y,Never
fc6108Nb,M,1992/04/05,175,64.3,"Nice, France",Y,N,Every other day
eu4364OQ,M,1984/12/31,185,75.3,"Orlando, United States",Y,Y,Once per week
iK0108bh,M,1991/11/22,176,68.1,"Dubai, United Arab Emirates",N,N,A couple of times per week
OB3345NI,M,1999/09/25,182,72.9,"La Paz, Bolivia",N,N,Every other day
AB0093QW,M,1990/08/06,178,66.5,"Mexico City, Mexico",Y,Y,Once per week
Ub5758WR,M,2000/10/31,182,89.4,"Giza, Egypt",Y,Y,Every other day
Qh3879HQ,M,1990/10/30,186,79.6,"Kumasi, Ghana",N,Y,Every day
Ga7508Tb,M,2001/11/07,179,73.7,"Los Angeles, United States",N,Y,Once per week
Tp8635Ux,M,1999/05/17,182,66.2,"Durban, South Africa",N,Y,Every other day
Tf4826nW,M,1996/05/15,184,67.7,"Cancun, Mexico",Y,N,Every other day
oV2065Pw,M,1994/09/15,179,83.3,"Santiago, Chile",N,Y,A couple of times per week
Zf6820DZ,M,1993/07/21,168,56.4,"El Calafate, Argentina",N,Y,Every other day
ZR5930FX,M,2001/06/05,182,62.9,"Saint Petersburg, Russia",N,N,Once per week
DA7094Cy,M,1983/06/13,181,72.1,"San Francisco, United States",Y,N,Every day
WO4692zi,M,2003/01/04,163,63.8,"Osaka, Japan",Y,Y,1 or 2 times per month
ou7956PZ,M,1994/08/16,179,70.5,"Kyoto, Japan",N,Y,A couple of times per week
QR6760Zu,M,1997/03/22,205,130.3,"Sydney, Australia",N,N,Every other day
vc5275kf,M,1989/03/02,180,71.3,"Cuenca, Ecuador",Y,Y,Once per week
JZ7955mN,M,1994/05/29,182,72.9,"Lisbon, Portugal",N,N,A couple of times per week
xC3898cs,M,2001/02/26,178,79.2,"Moscow, Russia",Y,N,A couple of times per week
UA0516go,M,1985/10/14,179,64.1,"Yaounde, Cameroon",Y,Y,Every other day
pp7187Jz,M,1986/08/30,183,67.0,"Rio de Janeiro, Brazil",Y,Y,Once per week
OE9078Pk,M,1992/01/28,179,86.5,"Madrid, Spain",Y,Y,A couple of times per week
uj2531Fh,M,1993/02/21,177,68.9,"Guayaquil, Ecuador",N,N,A couple of times per week
Zc4873Hm,M,1992/11/20,178,107.7,"Brussels, Belgium",N,Y,Once per week
YJ7249UC,M,1985/03/06,177,59.5,"Madrid, Spain",N,N,Every other day
aj4286TP,M,1988/07/31,184,71.1,"Taipei, Taiwan",Y,N,Every other day
Ks1613TT,M,2003/08/17,186,110.7,"Chattogram, Bangladesh",Y,Y,A couple of times per week
ja6758CE,M,2006/02/26,186,76.1,"Aleppo, Syria",Y,N,Every day
By1398gv,M,2006/11/03,179,64.1,"Darwin, Australia",Y,Y,A couple of times per week
GC9985jK,M,1986/08/27,185,82.1,"Stockholm, Sweden",Y,Y,Once per week
ib0463Lb,M,2001/11/05,167,66.9,"Frankfurt, Germany",Y,Y,Every other day
Ss5761rj,M,1984/12/05,179,57.7,"Chennai, India",Y,Y,Once per week
RF8874ni,M,1990/09/19,181,72.1,"Saint Petersburg, Russia",Y,Y,Every day
qF7331Vf,M,1992/11/22,182,59.6,"Johannesburg, South Africa",N,Y,Every day
YA0204Ax,M,2005/03/01,160,53.8,"Sydney, Australia",Y,Y,Once per week
bS4830YD,M,2003/01/26,183,93.8,"Mexico City, Mexico",N,Y,A couple of times per week
dc3129uc,M,1989/06/03,184,71.1,"Giza, Egypt",N,Y,1 or 2 times per month
qB9920TM,M,2001/04/06,174,81.7,"Mogadishu, Somalia",N,N,Every other day
OP4591Ob,M,1999/02/13,184,108.3,"Dubai, United Arab Emirates",N,N,A couple of times per week
Xu3402Gb,M,1991/01/02,177,78.3,"Arequipa, Peru",Y,Y,Never
sK5985Tj,M,1994/02/13,181,81.9,"Salta, Argentina",Y,N,Once per week
pI7189PT,M,1983/04/30,179,60.9,"Busan, South Korea",N,Y,A couple of times per week
BM7077dE,M,2001/11/22,182,69.6,"Orlando, United States",Y,Y,A couple of times per week
EK2892wq,M,2003/09/21,184,67.7,"Brazzaville, DR Congo",Y,N,1 or 2 times per month
GY8609zp,M,1988/05/24,164,56.5,"San Francisco, United States",Y,Y,Every other day
Dh6779dZ,M,1999/03/20,175,73.5,"Vienna, Austria",Y,Y,A couple of times per week
CL8619wC,M,2002/08/29,184,71.1,"Kumasi, Ghana",N,N,A couple of times per week
Yc8122DE,M,2001/05/31,187,76.9,"Jakarta, Indonesia",Y,N,Every day
YH9727YV,M,2001/04/14,181,78.6,"Brazzaville, DR Congo",N,Y,A couple of times per week
Yr3166OR,M,1985/09/21,184,64.3,"Georgetown, Guyana",Y,Y,Every other day
Ls9400FB,M,1991/06/24,177,65.8,"Otavalo, Ecuador",Y,N,Once per week
Zg6378kW,M,2000/10/30,179,57.7,"Kyoto, Japan",N,N,Every day
Tw4702zN,M,2003/12/15,182,69.6,"Amsterdam, Netherlands",Y,Y,A couple of times per week
TW4115pS,M,1983/09/01,181,95.0,"Lagos, Nigeria",Y,N,Every other day
NB0472Wh,M,1993/04/16,186,76.1,"Salta, Argentina",N,Y,Once per week
Vk8587zp,M,1999/06/08,183,80.4,"Lisbon, Portugal",Y,N,Never
DM0326cJ,M,1997/09/19,183,73.7,"Rabat, Morocco",N,Y,Every other day
qx0817ie,M,2003/04/10,168,64.9,"Vienna, Austria",N,Y,A couple of times per week
qY9002BJ,M,1991/12/02,156,48.7,"Camayenne, Guinea",Y,Y,A couple of times per week
th3854Qp,M,1998/07/05,169,68.5,"Bangkok, Thailand",N,Y,A couple of times per week
fn6360zg,M,1983/07/14,180,68.0,"Santiago, Chile",Y,Y,Once per week
dI5844Ub,M,2000/04/18,179,60.9,"Dar es Salaam, Tanzania",Y,Y,Every day
VZ0351js,M,1995/03/09,176,74.3,"Orlando, United States",N,Y,Once per week
ei1260Oa,M,2004/08/02,177,59.5,"Auckland, New Zealand",Y,Y,Every other day
Dz5470xB,M,1996/05/15,179,73.7,"Kabul, Afghanistan",N,Y,A couple of times per week
up1521qe,M,1983/12/13,182,62.9,"Christchurch, New Zealand",N,N,Every other day
hi1360kr,M,1994/06/07,184,77.9,"Kaduna, Nigeria",Y,Y,A couple of times per week
RB2253sy,M,1991/07/29,185,75.3,"Melbourne, Australia",Y,Y,A couple of times per week
kN8272KS,M,1986/09/22,167,36.3,"Kyoto, Japan",N,Y,Every other day
Pv7516sy,M,1994/05/05,181,72.1,"Bamako, Mali",Y,N,A couple of times per week
oD6663XA,M,1994/04/30,174,57.5,"Prague, Czech Republic",N,N,Every other day
jR1503uo,M,1997/12/29,179,60.9,"Vancouver, Canada",Y,Y,Every day
lf2414pG,M,2000/02/21,181,65.5,"Durban, South Africa",Y,N,A couple of times per week
gM7431SD,M,1985/10/17,180,74.5,"Bengaluru, India",N,N,Once per week
Jg2017yA,M,1984/09/04,182,79.5,"Giza, Egypt",Y,Y,Every other day
kb5068ZJ,M,1992/02/22,175,61.2,"Bamako, Mali",N,Y,Once per week
Lh8403nq,M,1992/11/17,175,73.5,"Perth, Australia",N,Y,A couple of times per week
ZN7766Cm,M,1999/05/22,184,81.3,"Nice, France",Y,Y,Every other day
uy6361SS,M,1986/03/28,184,71.1,"Nice, France",Y,Y,A couple of times per week
Yb9829iL,M,2002/12/21,184,88.0,"Prague, Czech Republic",Y,Y,Every other day
Ms7189cp,M,2003/08/05,175,58.2,"Salta, Argentina",N,N,Once per week
GU9418Rz,M,1999/12/04,171,55.6,"Beijing, China",N,N,A couple of times per week
Qu7816iR,M,2006/11/29,180,74.5,"Yokohama, Japan",Y,Y,Once per week
Rc9762FM,M,1991/01/07,181,62.2,"Lisbon, Portugal",Y,Y,Every other day
jN1242IM,M,2005/12/07,182,92.7,"Delhi, India",Y,N,Every day
fv3174EP,M,1982/09/09,184,84.6,"La Paz, Bolivia",Y,Y,A couple of times per week
XK7181Nx,M,1992/04/20,181,68.8,"Soweto, South Africa",N,Y,Every other day
SF9437ET,M,1996/12/27,177,90.9,"Rome, Italy",Y,Y,Once per week
EC5313fj,M,1995/11/11,181,65.5,"Brussels, Belgium",Y,Y,1 or 2 times per month
CB6459tG,M,1986/07/04,168,56.4,"Barcelona, Spain",Y,N,Every other day
lM9657xb,M,1991/03/05,192,81.1,"Busan, South Korea",N,Y,Every other day
EP1209Vg,M,1991/11/25,185,102.7,"Lahore, Pakistan",Y,Y,A couple of times per week
sy5188SL,M,1988/06/01,185,99.3,"Madrid, Spain",Y,Y,A couple of times per week
zS4801sC,M,1983/12/15,184,81.3,"Durban, South Africa",Y,Y,Never
ZI5281ZG,M,1985/04/27,174,54.5,"Chennai, India",Y,Y,1 or 2 times per month
aD2972mT,M,1992/09/27,174,72.7,"Osaka, Japan",N,Y,A couple of times per week
Zz5826Al,M,1994/06/07,171,87.7,"La Paz, Bolivia",Y,Y,Every other day
Oc1661Af,M,2006/09/12,170,72.2,"Mogadishu, Somalia",N,N,Once per week
WO8328lL,M,1990/05/26,169,54.3,"Heraklion, Greece",Y,N,Every day
wC7421VB,M,1987/03/22,177,94.0,"Nairobi, Kenya",Y,Y,Every day
oY4962fr,M,1984/08/04,180,71.3,"Ushuaia, Argentina",Y,Y,Every other day
Mh2214ji,M,2000/03/12,180,77.8,"Sydney, Australia",Y,N,Every other day
NJ7377Oz,M,1992/05/15,184,81.3,"Santiago, Chile",Y,Y,A couple of times per week
aK5235Lp,M,1984/08/10,166,63.4,"Toronto, Canada",Y,Y,Every other day
qf9774Pn,M,1987/03/28,178,60.2,"Los Angeles, United States",N,Y,A couple of times per week
ni0912iq,M,1995/01/25,197,69.9,"Auckland, New Zealand",Y,Y,Once per week
ia0677ZT,M,1994/03/24,185,65.0,"Athens, Greece",Y,N,Every day
YZ8486Bj,M,1992/09/04,168,59.3,"London, United Kingdom",Y,N,Once per week
Sn5622kB,M,1985/03/09,176,68.1,"Tehran, Iran",Y,N,Once per week
Ug1562UW,M,1998/06/05,174,60.6,"Rio de Janeiro, Brazil",N,Y,A couple of times per week
vO1262af,M,1987/01/21,183,80.4,"Seoul, South Korea",Y,N,Once per week
iO5131nW,M,1983/12/04,187,80.4,"Kaduna, Nigeria",N,N,Never
SB7401tE,M,2004/08/10,184,91.4,"Nairobi, Kenya",N,Y,A couple of times per week
ED1309sG,M,2000/05/07,181,65.5,"Casablanca, Morocco",N,N,A couple of times per week
tL9344KT,M,1994/07/02,183,80.4,"Accra, Ghana",Y,Y,Every other day
uY5408BD,M,1982/10/05,180,68.0,"Lima, Peru",Y,Y,A couple of times per week
Oi1390XU,M,1996/01/05,188,84.8,"Phnom Penh, Cambodia",Y,Y,Never
tA5494FY,M,1986/06/17,178,104.6,"Casablanca, Morocco",N,N,A couple of times per week
kV9161ML,M,1987/03/09,179,70.5,"Ho Chi Minh City, Vietnam",Y,Y,A couple of times per week
wo4946kM,M,1987/11/13,180,74.5,"Kumasi, Ghana",N,Y,A couple of times per week
vW7286WD,M,1995/11/07,179,76.9,"Moscow, Russia",N,Y,Every other day
gO2678kr,M,1996/01/18,174,66.6,"Alexandria, Egypt",Y,Y,Once per week
kU7180lV,M,2004/07/07,179,76.9,"Hyderabad, India",Y,Y,Every other day
cd8267Fb,M,1993/08/22,168,56.4,"Antananarivo, Madagascar",Y,Y,Never
qv1558Xm,M,1991/06/24,185,78.7,"Tokyo, Japan",Y,Y,A couple of times per week
