location,latitude,longitude,date,time,felt_temp_c,precipitation_prob,windspeed_km_h,day_time,time_of_day
"Auckland, New Zealand",-36.84853,174.76349,2022-08-13,09:00:00,7,9,5.9,False,morning
"Auckland, New Zealand",-36.84853,174.76349,2022-08-13,15:00:00,5,9,2.7,False,afternoon
"Auckland, New Zealand",-36.84853,174.76349,2022-08-12,21:00:00,9,9,9.3,False,evening
"Auckland, New Zealand",-36.84853,174.76349,2022-08-13,09:00:00,7,9,5.9,False,morning
"Auckland, New Zealand",-36.84853,174.76349,2022-08-13,15:00:00,5,9,2.7,False,afternoon
"Auckland, New Zealand",-36.84853,174.76349,2022-08-12,21:00:00,9,9,9.3,False,evening
"Auckland, New Zealand",-36.84853,174.76349,2022-08-13,09:00:00,7,9,5.9,False,morning
"Auckland, New Zealand",-36.84853,174.76349,2022-08-13,15:00:00,5,9,2.7,False,afternoon
"Edinburgh, United Kingdom",55.95206,-3.19648,2022-08-12,21:00:00,13,0,8.7,True,evening
"Edinburgh, United Kingdom",55.95206,-3.19648,2022-08-13,09:00:00,17,0,5.1,True,morning
"Edinburgh, United Kingdom",55.95206,-3.19648,2022-08-13,15:00:00,22,0,12.1,True,afternoon
"London, United Kingdom",51.50853,-0.12574,2022-08-12,21:00:00,21,0,12.4,True,evening
"London, United Kingdom",51.50853,-0.12574,2022-08-13,09:00:00,25,0,8.9,True,morning
"London, United Kingdom",51.50853,-0.12574,2022-08-13,15:00:00,28,0,17.7,True,afternoon
"Auckland, New Zealand",-36.84853,174.76349,2022-08-12,21:00:00,9,9,9.3,False,evening
"Auckland, New Zealand",-36.84853,174.76349,2022-08-13,09:00:00,7,9,5.9,False,morning
"Auckland, New Zealand",-36.84853,174.76349,2022-08-13,15:00:00,5,9,2.7,False,afternoon
"Auckland, New Zealand",-36.84853,174.76349,2022-08-12,21:00:00,9,9,9.3,False,evening
"Auckland, New Zealand",-36.84853,174.76349,2022-08-13,09:00:00,7,9,5.9,False,morning
"Auckland, New Zealand",-36.84853,174.76349,2022-08-13,15:00:00,5,9,2.7,False,afternoon
"Kuala Lumpur, Malaysia",3.1412,101.68653,2022-08-12,21:00:00,27,26,1.7,True,evening
"Kuala Lumpur, Malaysia",3.1412,101.68653,2022-08-13,09:00:00,32,26,5.5,True,morning
"Kuala Lumpur, Malaysia",3.1412,101.68653,2022-08-13,15:00:00,29,26,2.7,True,afternoon
"Valencia, Spain",39.46975,-0.37739,2022-08-12,21:00:00,29,0,5.0,True,evening
"Valencia, Spain",39.46975,-0.37739,2022-08-13,09:00:00,33,0,5.1,True,morning
"Valencia, Spain",39.46975,-0.37739,2022-08-13,15:00:00,36,0,5.4,True,afternoon
"Valencia, Spain",39.46975,-0.37739,2022-08-12,21:00:00,29,0,5.0,True,evening
"Valencia, Spain",39.46975,-0.37739,2022-08-13,09:00:00,33,0,5.1,True,morning
"Valencia, Spain",39.46975,-0.37739,2022-08-13,15:00:00,36,0,5.4,True,afternoon
"Valencia, Spain",39.46975,-0.37739,2022-08-12,21:00:00,29,0,5.0,True,evening
"Valencia, Spain",39.46975,-0.37739,2022-08-13,09:00:00,33,0,5.1,True,morning
"Valencia, Spain",39.46975,-0.37739,2022-08-13,15:00:00,36,0,5.4,True,afternoon
"Valencia, Spain",39.46975,-0.37739,2022-08-12,21:00:00,29,0,5.0,True,evening
"Valencia, Spain",39.46975,-0.37739,2022-08-13,09:00:00,33,0,5.1,True,morning
"Valencia, Spain",39.46975,-0.37739,2022-08-13,15:00:00,36,0,5.4,True,afternoon
"Valencia, Spain",39.46975,-0.37739,2022-08-12,21:00:00,29,0,5.0,True,evening
"Valencia, Spain",39.46975,-0.37739,2022-08-13,09:00:00,33,0,5.1,True,morning
"Valencia, Spain",39.46975,-0.37739,2022-08-13,15:00:00,36,0,5.4,True,afternoon
"Valencia, Spain",39.46975,-0.37739,2022-08-12,21:00:00,29,0,5.0,True,evening
"Valencia, Spain",39.46975,-0.37739,2022-08-13,09:00:00,33,0,5.1,True,morning
"Valencia, Spain",39.46975,-0.37739,2022-08-13,15:00:00,36,0,5.4,True,afternoon
