user,gender,dob,age,bmi,currentlocation,currentcity,currentcountry,sweats,coldhf,exercise,height_cm,weight_kg,genscore,agescore,bmiscore,citymorningscore,cityafternoonscore,citynightscore,sweatscore,coldhfscore,exercisescore,mymorningtemp,myafternoontemp,mynighttemp
ho1863WR,F,2002-03-21,20,healthy,"Lubumbashi, Republic of the Congo",Lubumbashi,Republic of the Congo,N,Y,Never,173.0,71.8,-2,0,0,8.0,12.0,9.0,0,-2,0,4.0,8.0,5.0
Ge4807FD,F,1986-02-11,36,healthy,"Berlin, Germany",Berlin,Germany,N,N,A couple of times per week,161.0,77.8,-2,0,0,18.0,21.0,19.0,0,0,0,16.0,19.0,17.0
th7370Qq,F,1994-09-03,27,healthy,"Bogota, Colombia",Bogota,Colombia,Y,N,A couple of times per week,158.0,57.4,-2,0,0,-2.0,-1.0,-2.0,1,0,0,-3.0,-2.0,-3.0
hf8278px,F,1997-01-22,25,healthy,"Buenos Aires, Argentina",Buenos Aires,Argentina,N,Y,Every other day,167.0,64.1,-2,0,0,25.0,26.0,25.0,0,-2,1,22.0,23.0,22.0
Vo7178jb,F,1998-06-11,24,healthy,"Tehran, Iran",Tehran,Iran,N,N,Every other day,173.0,83.8,-2,0,0,24.0,27.0,24.0,0,0,1,23.0,26.0,23.0
zg8262te,F,2003-11-23,18,healthy,"Perth, Australia",Perth,Australia,N,Y,Every other day,175.0,67.4,-2,0,0,27.0,29.0,26.0,0,-2,1,24.0,26.0,23.0
wu6566Nn,F,1995-10-21,26,healthy,"Nice, France",Nice,France,N,Y,Once per week,165.0,51.7,-2,0,0,19.0,20.0,19.0,0,-2,0,15.0,16.0,15.0
aE8415Ct,F,2004-06-21,18,healthy,"Colonia del Sacramento, Uruguay",Colonia del Sacramento,Uruguay,N,Y,1 or 2 times per month,172.0,59.2,-2,0,0,24.0,26.0,24.0,0,-2,0,20.0,22.0,20.0
VG6081rs,F,2001-09-07,20,healthy,"Antalya, Turkey",Antalya,Turkey,N,Y,1 or 2 times per month,175.0,64.3,-2,0,0,22.0,24.0,22.0,0,-2,0,18.0,20.0,18.0
sX9991Sc,F,1997-03-12,25,healthy,"Bariloche, Argentina",Bariloche,Argentina,N,Y,A couple of times per week,180.0,61.6,-2,0,0,10.0,11.0,10.0,0,-2,0,6.0,7.0,6.0
aj4799Dz,F,1992-09-06,29,healthy,"Kyoto, Japan",Kyoto,Japan,N,N,A couple of times per week,167.0,61.4,-2,0,0,14.0,18.0,15.0,0,0,0,12.0,16.0,13.0
jY5022Ik,F,1995-06-18,27,underweight,"Warsaw, Poland",Warsaw,Poland,N,Y,Every other day,171.0,46.8,-2,0,-1,10.0,12.0,9.0,0,-2,1,6.0,8.0,5.0
hU2559rv,F,2002-09-23,19,healthy,"Addis Ababa, Ethiopia",Addis Ababa,Ethiopia,N,N,Every other day,173.0,77.8,-2,0,0,7.0,11.0,8.0,0,0,1,6.0,10.0,7.0
Jw5986HL,F,2001-07-11,21,healthy,"Rhodes, Greece",Rhodes,Greece,Y,Y,Every day,162.0,52.5,-2,0,0,12.0,15.0,12.0,1,-2,1,10.0,13.0,10.0
qB5442fD,F,1985-08-17,36,healthy,"Istanbul, Turkey",Istanbul,Turkey,Y,Y,A couple of times per week,171.0,67.3,-2,0,0,4.0,6.0,5.0,1,-2,0,1.0,3.0,2.0
No0911Xw,F,2001-06-19,21,healthy,"Kano, Nigeria",Kano,Nigeria,N,Y,A couple of times per week,172.0,65.1,-2,0,0,19.0,20.0,17.0,0,-2,0,15.0,16.0,13.0
DQ8683mU,F,2002-01-25,20,healthy,"Beirut, Lebanon",Beirut,Lebanon,N,N,1 or 2 times per month,172.0,68.0,-2,0,0,16.0,18.0,15.0,0,0,0,14.0,16.0,13.0
pG2739wk,F,1985-06-27,37,healthy,"Cuenca, Ecuador",Cuenca,Ecuador,N,N,Once per week,173.0,71.8,-2,0,0,26.0,30.0,28.0,0,0,0,24.0,28.0,26.0
QI5424sj,F,1995-06-07,27,healthy,"Warsaw, Poland",Warsaw,Poland,N,Y,A couple of times per week,173.0,71.8,-2,0,0,15.0,16.0,14.0,0,-2,0,11.0,12.0,10.0
Sg2082Gj,F,1998-06-10,24,healthy,"Cusco, Peru",Cusco,Peru,Y,Y,1 or 2 times per month,174.0,63.6,-2,0,0,29.0,33.0,30.0,1,-2,0,26.0,30.0,27.0
uW0056qg,F,2000-03-06,22,healthy,"Otavalo, Ecuador",Otavalo,Ecuador,N,Y,1 or 2 times per month,172.0,71.0,-2,0,0,12.0,13.0,12.0,0,-2,0,8.0,9.0,8.0
Mf9928ta,F,1984-05-11,38,healthy,"Surat, India",Surat,India,N,Y,Never,172.0,71.0,-2,0,0,19.0,22.0,21.0,0,-2,0,15.0,18.0,17.0
CJ3881nc,F,1996-05-30,26,healthy,"Rio de Janeiro, Brazil",Rio de Janeiro,Brazil,N,Y,A couple of times per week,167.0,53.0,-2,0,0,21.0,22.0,19.0,0,-2,0,17.0,18.0,15.0
ks6034zD,F,2005-02-06,17,healthy,"San Francisco, United States",San Francisco,United States,N,N,Every other day,176.0,89.8,-2,0,0,26.0,29.0,28.0,0,0,1,25.0,28.0,27.0
HO0481yH,F,1992-09-11,29,healthy,"Soweto, South Africa",Soweto,South Africa,Y,Y,Never,171.0,55.6,-2,0,0,17.0,18.0,16.0,1,-2,0,14.0,15.0,13.0
cG0468Xv,F,1996-06-04,26,healthy,"Taipei, Taiwan",Taipei,Taiwan,Y,N,Once per week,165.0,62.6,-2,0,0,29.0,30.0,28.0,1,0,0,28.0,29.0,27.0
lX5412Lp,F,1995-08-19,26,healthy,"Cape Town, South Africa",Cape Town,South Africa,N,Y,A couple of times per week,177.0,65.8,-2,0,0,2.0,3.0,1.0,0,-2,0,-2.0,-1.0,-3.0
Fz0506XF,F,1992-11-11,29,healthy,"Bangkok, Thailand",Bangkok,Thailand,Y,N,A couple of times per week,174.0,60.6,-2,0,0,18.0,21.0,19.0,1,0,0,17.0,20.0,18.0
Vd3843rI,F,1984-06-24,38,healthy,"Moscow, Russia",Moscow,Russia,N,Y,Once per week,177.0,97.1,-2,0,0,31.0,33.0,32.0,0,-2,0,27.0,29.0,28.0
zt1008Pp,F,1995-12-05,26,healthy,"Mumbai, India",Mumbai,India,N,N,Once per week,171.0,58.5,-2,0,0,7.0,8.0,6.0,0,0,0,5.0,6.0,4.0
mT4707NT,F,1984-03-30,38,healthy,"Accra, Ghana",Accra,Ghana,N,Y,A couple of times per week,168.0,90.3,-2,0,0,16.0,18.0,17.0,0,-2,0,12.0,14.0,13.0
Nq6049Qf,F,1999-10-11,22,underweight,"Salta, Argentina",Salta,Argentina,N,N,Every day,168.0,45.2,-2,0,-1,-5.0,-1.0,-4.0,0,0,1,-7.0,-3.0,-6.0
md8820HQ,F,2004-12-26,17,underweight,"Manila, Philippines",Manila,Philippines,N,N,Every day,168.0,50.8,-2,0,-1,15.0,19.0,17.0,0,0,1,13.0,17.0,15.0
Ae5308XE,F,2005-07-10,17,healthy,"Phnom Penh, Cambodia",Phnom Penh,Cambodia,N,N,Every other day,170.0,86.7,-2,0,0,23.0,24.0,23.0,0,0,1,22.0,23.0,22.0
QM7498xd,F,1995-06-22,27,healthy,"Yaounde, Cameroon",Yaounde,Cameroon,Y,N,Once per week,175.0,70.4,-2,0,0,35.0,37.0,36.0,1,0,0,34.0,36.0,35.0
vy1384mj,F,1987-07-26,35,healthy,"Pretoria, South Africa",Pretoria,South Africa,N,N,A couple of times per week,177.0,65.8,-2,0,0,9.0,12.0,9.0,0,0,0,7.0,10.0,7.0
Od9569GI,F,1999-09-18,22,healthy,"Punta Arenas, Chile",Punta Arenas,Chile,Y,Y,Never,169.0,60.0,-2,0,0,5.0,6.0,5.0,1,-2,0,2.0,3.0,2.0
WN4632iD,F,2004-08-30,17,healthy,"Addis Ababa, Ethiopia",Addis Ababa,Ethiopia,Y,N,Once per week,170.0,66.5,-2,0,0,2.0,3.0,1.0,1,0,0,1.0,2.0,0.0
DA3300sq,F,2003-10-22,18,underweight,"Luanda, Angola",Luanda,Angola,Y,Y,A couple of times per week,175.0,52.1,-2,0,-1,23.0,26.0,25.0,1,-2,0,19.0,22.0,21.0
jU8256OS,F,2003-06-09,19,healthy,"Chattogram, Bangladesh",Chattogram,Bangladesh,N,Y,1 or 2 times per month,164.0,86.1,-2,0,0,16.0,19.0,16.0,0,-2,0,12.0,15.0,12.0
Kv6037NJ,F,1994-01-19,28,healthy,"Amsterdam, Netherlands",Amsterdam,Netherlands,N,Y,Every day,174.0,72.7,-2,0,0,19.0,20.0,18.0,0,-2,1,16.0,17.0,15.0
rH5477Fr,F,1993-12-22,28,healthy,"Istanbul, Turkey",Istanbul,Turkey,N,Y,Every day,155.0,48.1,-2,0,0,16.0,19.0,18.0,0,-2,1,13.0,16.0,15.0
nq2368Pe,F,1989-05-01,33,healthy,"Dar es Salaam, Tanzania",Dar es Salaam,Tanzania,N,N,Every other day,161.0,59.6,-2,0,0,18.0,22.0,19.0,0,0,1,17.0,21.0,18.0
cn8522DE,F,1997-12-28,24,healthy,"Rabat, Morocco",Rabat,Morocco,N,N,Every day,169.0,80.0,-2,0,0,-1.0,3.0,2.0,0,0,1,-2.0,2.0,1.0
TF1017JD,F,2004-08-18,17,healthy,"Antalya, Turkey",Antalya,Turkey,Y,N,Once per week,176.0,99.1,-2,0,0,-2.0,-1.0,-2.0,1,0,0,-3.0,-2.0,-3.0
QU1952qm,F,1998-09-20,23,healthy,"Tehran, Iran",Tehran,Iran,N,Y,A couple of times per week,160.0,48.6,-2,0,0,32.0,35.0,34.0,0,-2,0,28.0,31.0,30.0
fn0688Rw,F,2003-02-15,19,healthy,"Los Angeles, United States",Los Angeles,United States,N,Y,A couple of times per week,172.0,68.0,-2,0,0,8.0,12.0,11.0,0,-2,0,4.0,8.0,7.0
Wt4817Ad,F,1991-03-08,31,healthy,"Saint Petersburg, Russia",Saint Petersburg,Russia,N,Y,A couple of times per week,172.0,74.0,-2,0,0,12.0,14.0,12.0,0,-2,0,8.0,10.0,8.0
HM5157bT,F,1984-04-16,38,healthy,"New York City, United States",New York City,United States,Y,N,Every day,170.0,54.9,-2,0,0,19.0,21.0,20.0,1,0,1,19.0,21.0,20.0
Bf3093Ud,F,1995-04-26,27,healthy,"New York City, United States",New York City,United States,N,N,Never,170.0,66.5,-2,0,0,-1.0,1.0,-1.0,0,0,0,-3.0,-1.0,-3.0
iZ5923Ds,F,1983-09-18,38,healthy,"Lagos, Nigeria",Lagos,Nigeria,N,N,Never,166.0,66.1,-2,0,0,25.0,29.0,28.0,0,0,0,23.0,27.0,26.0
io9530FR,F,2005-10-18,16,healthy,"Bogota, Colombia",Bogota,Colombia,Y,Y,A couple of times per week,177.0,84.6,-2,0,0,8.0,10.0,7.0,1,-2,0,5.0,7.0,4.0
Nn8871ce,F,1996-12-23,25,underweight,"Jeddah, Saudi Arabia",Jeddah,Saudi Arabia,N,N,Once per week,160.0,43.5,-2,0,-1,0.0,4.0,1.0,0,0,0,-3.0,1.0,-2.0
uc5603fi,F,2006-08-26,15,healthy,"Camayenne, Guinea",Camayenne,Guinea,Y,Y,Never,172.0,76.9,-2,0,0,5.0,9.0,6.0,1,-2,0,2.0,6.0,3.0
qT0861cZ,F,2003-05-26,19,healthy,"Bamako, Mali",Bamako,Mali,N,Y,A couple of times per week,165.0,57.2,-2,0,0,19.0,23.0,22.0,0,-2,0,15.0,19.0,18.0
Jf5651qU,F,1998-12-04,23,healthy,"Cape Town, South Africa",Cape Town,South Africa,Y,Y,A couple of times per week,171.0,55.6,-2,0,0,-1.0,1.0,-2.0,1,-2,0,-4.0,-2.0,-5.0
HW1827Mc,F,1984-12-24,37,healthy,"Ankara, Turkey",Ankara,Turkey,N,Y,1 or 2 times per month,156.0,58.4,-2,0,0,35.0,36.0,34.0,0,-2,0,31.0,32.0,30.0
zs7146bj,F,1994-05-26,28,healthy,"Sucre, Bolivia",Sucre,Bolivia,Y,N,A couple of times per week,172.0,74.0,-2,0,0,25.0,26.0,25.0,1,0,0,24.0,25.0,24.0
lr4584rY,F,2003-12-20,18,healthy,"Chattogram, Bangladesh",Chattogram,Bangladesh,Y,N,Every other day,157.0,54.2,-2,0,0,15.0,17.0,16.0,1,0,1,15.0,17.0,16.0
sr6207Wj,F,1999-07-15,23,healthy,"Potosi, Bolivia",Potosi,Bolivia,N,N,Never,168.0,84.7,-2,0,0,35.0,37.0,34.0,0,0,0,33.0,35.0,32.0
CR0622wE,F,2001-01-22,21,healthy,"Dublin, Ireland",Dublin,Ireland,N,Y,A couple of times per week,173.0,56.9,-2,0,0,8.0,10.0,7.0,0,-2,0,4.0,6.0,3.0
nK0465kL,F,1995-12-23,26,healthy,"Baghdad, Iraq",Baghdad,Iraq,N,Y,A couple of times per week,171.0,55.6,-2,0,0,11.0,15.0,13.0,0,-2,0,7.0,11.0,9.0
wF8318VK,F,1987-01-27,35,healthy,"Addis Ababa, Ethiopia",Addis Ababa,Ethiopia,N,N,A couple of times per week,176.0,68.1,-2,0,0,22.0,23.0,22.0,0,0,0,20.0,21.0,20.0
wJ6151wr,F,1985-07-12,37,healthy,"Dar es Salaam, Tanzania",Dar es Salaam,Tanzania,N,N,Once per week,169.0,65.7,-2,0,0,6.0,7.0,6.0,0,0,0,4.0,5.0,4.0
KP1280tK,F,1999-11-07,22,healthy,"Khartoum, Sudan",Khartoum,Sudan,N,Y,Once per week,168.0,76.2,-2,0,0,28.0,32.0,29.0,0,-2,0,24.0,28.0,25.0
oI4807DW,F,1986-01-04,36,healthy,"Frankfurt, Germany",Frankfurt,Germany,N,Y,A couple of times per week,170.0,78.0,-2,0,0,4.0,8.0,7.0,0,-2,0,0.0,4.0,3.0
hk4613Pw,F,1997-10-22,24,healthy,"Ibadan, Nigeria",Ibadan,Nigeria,Y,N,Every other day,175.0,73.5,-2,0,0,33.0,34.0,33.0,1,0,1,33.0,34.0,33.0
lN1039KK,F,1988-08-07,34,healthy,"Amsterdam, Netherlands",Amsterdam,Netherlands,Y,N,A couple of times per week,167.0,58.6,-2,0,0,21.0,22.0,20.0,1,0,0,20.0,21.0,19.0
gb5679mu,F,1999-02-19,23,healthy,"Prague, Czech Republic",Prague,Czech Republic,N,N,1 or 2 times per month,177.0,62.7,-2,0,0,10.0,14.0,12.0,0,0,0,8.0,12.0,10.0
Kt0553Zb,F,1984-06-19,38,healthy,"Benin City, Nigeria",Benin City,Nigeria,N,N,Every day,170.0,66.5,-2,0,0,13.0,14.0,11.0,0,0,1,12.0,13.0,10.0
sC1806Ta,F,2004-09-03,17,healthy,"Valparaiso, Chile",Valparaiso,Chile,N,Y,A couple of times per week,168.0,70.6,-2,0,0,8.0,9.0,8.0,0,-2,0,4.0,5.0,4.0
WR2729IX,F,2006-10-11,15,healthy,"Brazzaville, DR Congo",Brazzaville,DR Congo,N,N,Never,175.0,73.5,-2,0,0,5.0,9.0,6.0,0,0,0,3.0,7.0,4.0
OL7807Nk,F,1994-10-31,27,healthy,"Punta Arenas, Chile",Punta Arenas,Chile,N,N,Once per week,161.0,54.4,-2,0,0,3.0,7.0,5.0,0,0,0,1.0,5.0,3.0
EK7257Gc,F,1988-07-31,34,healthy,"Pyongyang, North Korea",Pyongyang,North Korea,Y,N,A couple of times per week,167.0,55.8,-2,0,0,12.0,16.0,14.0,1,0,0,11.0,15.0,13.0
xk2615qR,F,1986-02-04,36,healthy,"Hanoi, Vietnam",Hanoi,Vietnam,Y,Y,A couple of times per week,167.0,61.4,-2,0,0,26.0,28.0,27.0,1,-2,0,23.0,25.0,24.0
sq8076Gh,F,1995-06-25,27,healthy,"Kuala Lumpur, Malaysia",Kuala Lumpur,Malaysia,N,N,Never,173.0,56.9,-2,0,0,25.0,26.0,23.0,0,0,0,23.0,24.0,21.0
YK7947ZR,F,2005-10-08,16,healthy,"Beijing, China",Beijing,China,Y,Y,Never,167.0,69.7,-2,0,0,10.0,11.0,10.0,1,-2,0,7.0,8.0,7.0
pm8525yk,F,1995-05-23,27,healthy,"Paris, France",Paris,France,N,N,Once per week,171.0,76.0,-2,0,0,-4.0,0.0,-3.0,0,0,0,-6.0,-2.0,-5.0
yM3307Hq,F,2005-03-02,17,healthy,"Nice, France",Nice,France,N,Y,A couple of times per week,172.0,62.1,-2,0,0,22.0,24.0,22.0,0,-2,0,18.0,20.0,18.0
of9435fU,F,1999-08-11,23,healthy,"Cairo, Egypt",Cairo,Egypt,Y,N,A couple of times per week,172.0,56.2,-2,0,0,32.0,35.0,34.0,1,0,0,31.0,34.0,33.0
Kd1350kd,F,1994-02-24,28,healthy,"Ahmedabad, India",Ahmedabad,India,N,N,Every day,168.0,56.4,-2,0,0,9.0,11.0,9.0,0,0,1,8.0,10.0,8.0
al2574em,F,1995-09-22,26,healthy,"Yangon, Myanmar",Yangon,Myanmar,N,Y,Every other day,171.0,64.3,-2,0,0,29.0,31.0,28.0,0,-2,1,26.0,28.0,25.0
al6860iC,F,1993-01-29,29,healthy,"Warsaw, Poland",Warsaw,Poland,N,N,A couple of times per week,161.0,49.2,-2,0,0,2.0,5.0,4.0,0,0,0,0.0,3.0,2.0
Ly2684xI,F,1983-10-16,38,healthy,"Warsaw, Poland",Warsaw,Poland,Y,N,Never,169.0,54.3,-2,0,0,34.0,37.0,34.0,1,0,0,33.0,36.0,33.0
Al4435Em,F,1996-08-12,25,healthy,"Mogadishu, Somalia",Mogadishu,Somalia,N,N,A couple of times per week,169.0,54.3,-2,0,0,6.0,10.0,7.0,0,0,0,4.0,8.0,5.0
yc5072Ow,F,1994-10-15,27,healthy,"Chattogram, Bangladesh",Chattogram,Bangladesh,N,N,A couple of times per week,172.0,62.1,-2,0,0,16.0,19.0,17.0,0,0,0,14.0,17.0,15.0
LQ8062MB,F,1983-12-06,38,healthy,"Orlando, United States",Orlando,United States,N,Y,Every other day,167.0,55.8,-2,0,0,6.0,8.0,7.0,0,-2,1,3.0,5.0,4.0
yX2098Rj,F,2002-06-08,20,healthy,"Yangon, Myanmar",Yangon,Myanmar,N,N,A couple of times per week,172.0,71.0,-2,0,0,13.0,15.0,14.0,0,0,0,11.0,13.0,12.0
dp7047uq,F,2000-07-05,22,healthy,"Madrid, Spain",Madrid,Spain,N,N,A couple of times per week,170.0,69.4,-2,0,0,21.0,24.0,22.0,0,0,0,19.0,22.0,20.0
UL7957iF,F,1992-03-02,30,healthy,"Vienna, Austria",Vienna,Austria,N,N,A couple of times per week,169.0,57.1,-2,0,0,27.0,30.0,29.0,0,0,0,25.0,28.0,27.0
Ee5657Ct,F,2000-02-23,22,healthy,"Shanghai, China",Shanghai,China,N,N,Once per week,174.0,66.6,-2,0,0,23.0,27.0,24.0,0,0,0,21.0,25.0,22.0
Nd3238Di,F,2002-06-02,20,healthy,"Delhi, India",Delhi,India,N,Y,A couple of times per week,171.0,96.5,-2,0,0,3.0,7.0,5.0,0,-2,0,-1.0,3.0,1.0
dZ6198YL,F,2003-03-05,19,healthy,"Kinshasa, Republic of the Congo",Kinshasa,Republic of the Congo,Y,Y,A couple of times per week,173.0,59.9,-2,0,0,11.0,12.0,11.0,1,-2,0,8.0,9.0,8.0
lt6267aA,F,1986-12-09,35,healthy,"Ankara, Turkey",Ankara,Turkey,Y,Y,Every other day,167.0,53.0,-2,0,0,16.0,19.0,17.0,1,-2,1,14.0,17.0,15.0
QR1608FL,F,1986-02-12,36,healthy,"Dakar, Senegal",Dakar,Senegal,N,Y,A couple of times per week,169.0,57.1,-2,0,0,10.0,11.0,10.0,0,-2,0,6.0,7.0,6.0
DX0047ng,F,2005-06-18,17,healthy,"Copenhagen, Denmark",Copenhagen,Denmark,N,Y,1 or 2 times per month,173.0,68.8,-2,0,0,21.0,23.0,20.0,0,-2,0,17.0,19.0,16.0
wL8390nk,F,2006-04-01,16,healthy,"Yokohama, Japan",Yokohama,Japan,N,N,A couple of times per week,175.0,73.5,-2,0,0,14.0,18.0,15.0,0,0,0,12.0,16.0,13.0
wU7012Ci,F,2000-04-26,22,healthy,"Georgetown, Guyana",Georgetown,Guyana,N,N,1 or 2 times per month,172.0,56.2,-2,0,0,32.0,33.0,30.0,0,0,0,30.0,31.0,28.0
PH6460ab,F,1984-09-13,37,healthy,"Ahmedabad, India",Ahmedabad,India,Y,N,A couple of times per week,170.0,57.8,-2,0,0,-1.0,2.0,0.0,1,0,0,-2.0,1.0,-1.0
sv3178eA,F,2001-08-16,20,healthy,"Porto, Portugal",Porto,Portugal,N,Y,A couple of times per week,170.0,69.4,-2,0,0,30.0,33.0,32.0,0,-2,0,26.0,29.0,28.0
vX8572wJ,F,2005-08-02,17,healthy,"Rio de Janeiro, Brazil",Rio de Janeiro,Brazil,N,Y,1 or 2 times per month,166.0,63.4,-2,0,0,-2.0,-1.0,-3.0,0,-2,0,-6.0,-5.0,-7.0
Tj5716fs,F,1993-01-31,29,healthy,"Busan, South Korea",Busan,South Korea,N,N,Every other day,174.0,60.6,-2,0,0,-4.0,-1.0,-2.0,0,0,1,-5.0,-2.0,-3.0
mZ5775aY,F,1992-02-02,30,healthy,"Tokyo, Japan",Tokyo,Japan,N,N,A couple of times per week,167.0,55.8,-2,0,0,9.0,11.0,10.0,0,0,0,7.0,9.0,8.0
rM1695Am,F,2005-11-11,16,healthy,"Berlin, Germany",Berlin,Germany,N,Y,A couple of times per week,156.0,56.0,-2,0,0,-2.0,1.0,-1.0,0,-2,0,-6.0,-3.0,-5.0
ia5999hG,F,1997-06-15,25,healthy,"Rhodes, Greece",Rhodes,Greece,N,N,Every other day,159.0,75.8,-2,0,0,10.0,13.0,12.0,0,0,1,9.0,12.0,11.0
op8764LQ,F,1984-05-14,38,healthy,"Vancouver, Canada",Vancouver,Canada,Y,N,Never,175.0,58.2,-2,0,0,34.0,37.0,34.0,1,0,0,33.0,36.0,33.0
Up5117LE,F,1997-11-11,24,healthy,"Antalya, Turkey",Antalya,Turkey,N,N,Every day,174.0,60.6,-2,0,0,17.0,20.0,19.0,0,0,1,16.0,19.0,18.0
IN1645fn,F,1993-07-21,29,healthy,"Brisbane, Australia",Brisbane,Australia,Y,N,Every day,169.0,60.0,-2,0,0,25.0,26.0,25.0,1,0,1,25.0,26.0,25.0
Wh5069zD,F,1992-02-13,30,healthy,"Bamako, Mali",Bamako,Mali,N,N,A couple of times per week,173.0,71.8,-2,0,0,31.0,34.0,31.0,0,0,0,29.0,32.0,29.0
