user,gender,dob,age,bmi,currentlocation,currentcity,currentcountry,sweats,coldhf,exercise,genscore,height_cm,weight_kg,agescore,bmiscore,sweatscore,coldhfscore,exercisescore,dob.1,height_cm.1,weight_kg.1
kS7055nW,F,1991-03-03,31,healthy,"Brisbane, Australia",Brisbane,Australia,Y,N,Every day,-2,168.0,70.6,0,0,1,0,1,1991-03-03,168.0,70.6
RN6720xw,F,1994-06-20,28,healthy,"Sucre, Bolivia",Sucre,Bolivia,Y,Y,Never,-2,171.0,70.2,0,0,1,-2,0,1994-06-20,171.0,70.2
JQ9125Kc,F,2006-03-23,16,healthy,"Hong Kong, Hong Kong",Hong Kong,Hong Kong,N,Y,1 or 2 times per month,-2,168.0,53.6,0,0,0,-2,0,2006-03-23,168.0,53.6
mW9854PO,F,2006-03-09,16,healthy,"Vancouver, Canada",Vancouver,Canada,Y,N,Once per week,-2,173.0,56.9,0,0,1,0,0,2006-03-09,173.0,56.9
NQ1553Fl,F,2004-05-21,18,healthy,"Sydney, Australia",Sydney,Australia,Y,Y,A couple of times per week,-2,169.0,105.7,0,0,1,-2,0,2004-05-21,169.0,105.7
cC7316pz,F,1987-02-15,35,healthy,"Rabat, Morocco",Rabat,Morocco,Y,N,A couple of times per week,-2,165.0,51.7,0,0,1,0,0,1987-02-15,165.0,51.7
xo4542ki,F,1989-09-30,32,healthy,"Rome, Italy",Rome,Italy,Y,N,Every day,-2,175.0,67.4,0,0,1,0,1,1989-09-30,175.0,67.4
hS8845SM,F,2005-01-16,17,healthy,"Milan, Italy",Milan,Italy,Y,Y,Every day,-2,169.0,62.8,0,0,1,-2,1,2005-01-16,169.0,62.8
Qp5504KJ,F,2003-10-06,18,healthy,"Los Angeles, United States",Los Angeles,United States,N,Y,A couple of times per week,-2,164.0,53.8,0,0,0,-2,0,2003-10-06,164.0,53.8
JE9300TA,F,1985-09-01,36,healthy,"Kolkata, India",Kolkata,India,Y,Y,A couple of times per week,-2,172.0,68.0,0,0,1,-2,0,1985-09-01,172.0,68.0
aY7413SP,F,1995-04-21,27,healthy,"Addis Ababa, Ethiopia",Addis Ababa,Ethiopia,Y,N,A couple of times per week,-2,158.0,52.4,0,0,1,0,0,1995-04-21,158.0,52.4
ho1863WR,F,2002-03-21,20,healthy,"Lubumbashi, Republic of the Congo",Lubumbashi,Republic of the Congo,N,Y,Never,-2,173.0,71.8,0,0,0,-2,0,2002-03-21,173.0,71.8
Ge4807FD,F,1986-02-11,36,healthy,"Berlin, Germany",Berlin,Germany,N,N,A couple of times per week,-2,161.0,77.8,0,0,0,0,0,1986-02-11,161.0,77.8
th7370Qq,F,1994-09-03,27,healthy,"Bogota, Colombia",Bogota,Colombia,Y,N,A couple of times per week,-2,158.0,57.4,0,0,1,0,0,1994-09-03,158.0,57.4
hf8278px,F,1997-01-22,25,healthy,"Buenos Aires, Argentina",Buenos Aires,Argentina,N,Y,Every other day,-2,167.0,64.1,0,0,0,-2,1,1997-01-22,167.0,64.1
Vo7178jb,F,1998-06-11,24,healthy,"Tehran, Iran",Tehran,Iran,N,N,Every other day,-2,173.0,83.8,0,0,0,0,1,1998-06-11,173.0,83.8
zg8262te,F,2003-11-23,18,healthy,"Perth, Australia",Perth,Australia,N,Y,Every other day,-2,175.0,67.4,0,0,0,-2,1,2003-11-23,175.0,67.4
wu6566Nn,F,1995-10-21,26,healthy,"Nice, France",Nice,France,N,Y,Once per week,-2,165.0,51.7,0,0,0,-2,0,1995-10-21,165.0,51.7
aE8415Ct,F,2004-06-21,18,healthy,"Colonia del Sacramento, Uruguay",Colonia del Sacramento,Uruguay,N,Y,1 or 2 times per month,-2,172.0,59.2,0,0,0,-2,0,2004-06-21,172.0,59.2
VG6081rs,F,2001-09-07,20,healthy,"Antalya, Turkey",Antalya,Turkey,N,Y,1 or 2 times per month,-2,175.0,64.3,0,0,0,-2,0,2001-09-07,175.0,64.3
sX9991Sc,F,1997-03-12,25,healthy,"Bariloche, Argentina",Bariloche,Argentina,N,Y,A couple of times per week,-2,180.0,61.6,0,0,0,-2,0,1997-03-12,180.0,61.6
aj4799Dz,F,1992-09-06,29,healthy,"Kyoto, Japan",Kyoto,Japan,N,N,A couple of times per week,-2,167.0,61.4,0,0,0,0,0,1992-09-06,167.0,61.4
jY5022Ik,F,1995-06-18,27,underweight,"Warsaw, Poland",Warsaw,Poland,N,Y,Every other day,-2,171.0,46.8,0,-1,0,-2,1,1995-06-18,171.0,46.8
hU2559rv,F,2002-09-23,19,healthy,"Addis Ababa, Ethiopia",Addis Ababa,Ethiopia,N,N,Every other day,-2,173.0,77.8,0,0,0,0,1,2002-09-23,173.0,77.8
Jw5986HL,F,2001-07-11,21,healthy,"Rhodes, Greece",Rhodes,Greece,Y,Y,Every day,-2,162.0,52.5,0,0,1,-2,1,2001-07-11,162.0,52.5
qB5442fD,F,1985-08-17,36,healthy,"Istanbul, Turkey",Istanbul,Turkey,Y,Y,A couple of times per week,-2,171.0,67.3,0,0,1,-2,0,1985-08-17,171.0,67.3
No0911Xw,F,2001-06-19,21,healthy,"Kano, Nigeria",Kano,Nigeria,N,Y,A couple of times per week,-2,172.0,65.1,0,0,0,-2,0,2001-06-19,172.0,65.1
DQ8683mU,F,2002-01-25,20,healthy,"Beirut, Lebanon",Beirut,Lebanon,N,N,1 or 2 times per month,-2,172.0,68.0,0,0,0,0,0,2002-01-25,172.0,68.0
pG2739wk,F,1985-06-27,37,healthy,"Cuenca, Ecuador",Cuenca,Ecuador,N,N,Once per week,-2,173.0,71.8,0,0,0,0,0,1985-06-27,173.0,71.8
QI5424sj,F,1995-06-07,27,healthy,"Warsaw, Poland",Warsaw,Poland,N,Y,A couple of times per week,-2,173.0,71.8,0,0,0,-2,0,1995-06-07,173.0,71.8
Sg2082Gj,F,1998-06-10,24,healthy,"Cusco, Peru",Cusco,Peru,Y,Y,1 or 2 times per month,-2,174.0,63.6,0,0,1,-2,0,1998-06-10,174.0,63.6
uW0056qg,F,2000-03-06,22,healthy,"Otavalo, Ecuador",Otavalo,Ecuador,N,Y,1 or 2 times per month,-2,172.0,71.0,0,0,0,-2,0,2000-03-06,172.0,71.0
Mf9928ta,F,1984-05-11,38,healthy,"Surat, India",Surat,India,N,Y,Never,-2,172.0,71.0,0,0,0,-2,0,1984-05-11,172.0,71.0
CJ3881nc,F,1996-05-30,26,healthy,"Rio de Janeiro, Brazil",Rio de Janeiro,Brazil,N,Y,A couple of times per week,-2,167.0,53.0,0,0,0,-2,0,1996-05-30,167.0,53.0
ks6034zD,F,2005-02-06,17,healthy,"San Francisco, United States",San Francisco,United States,N,N,Every other day,-2,176.0,89.8,0,0,0,0,1,2005-02-06,176.0,89.8
HO0481yH,F,1992-09-11,29,healthy,"Soweto, South Africa",Soweto,South Africa,Y,Y,Never,-2,171.0,55.6,0,0,1,-2,0,1992-09-11,171.0,55.6
cG0468Xv,F,1996-06-04,26,healthy,"Taipei, Taiwan",Taipei,Taiwan,Y,N,Once per week,-2,165.0,62.6,0,0,1,0,0,1996-06-04,165.0,62.6
lX5412Lp,F,1995-08-19,26,healthy,"Cape Town, South Africa",Cape Town,South Africa,N,Y,A couple of times per week,-2,177.0,65.8,0,0,0,-2,0,1995-08-19,177.0,65.8
Fz0506XF,F,1992-11-11,29,healthy,"Bangkok, Thailand",Bangkok,Thailand,Y,N,A couple of times per week,-2,174.0,60.6,0,0,1,0,0,1992-11-11,174.0,60.6
Vd3843rI,F,1984-06-24,38,healthy,"Moscow, Russia",Moscow,Russia,N,Y,Once per week,-2,177.0,97.1,0,0,0,-2,0,1984-06-24,177.0,97.1
zt1008Pp,F,1995-12-05,26,healthy,"Mumbai, India",Mumbai,India,N,N,Once per week,-2,171.0,58.5,0,0,0,0,0,1995-12-05,171.0,58.5
mT4707NT,F,1984-03-30,38,healthy,"Accra, Ghana",Accra,Ghana,N,Y,A couple of times per week,-2,168.0,90.3,0,0,0,-2,0,1984-03-30,168.0,90.3
Nq6049Qf,F,1999-10-11,22,underweight,"Salta, Argentina",Salta,Argentina,N,N,Every day,-2,168.0,45.2,0,-1,0,0,1,1999-10-11,168.0,45.2
md8820HQ,F,2004-12-26,17,underweight,"Manila, Philippines",Manila,Philippines,N,N,Every day,-2,168.0,50.8,0,-1,0,0,1,2004-12-26,168.0,50.8
Ae5308XE,F,2005-07-10,17,healthy,"Phnom Penh, Cambodia",Phnom Penh,Cambodia,N,N,Every other day,-2,170.0,86.7,0,0,0,0,1,2005-07-10,170.0,86.7
QM7498xd,F,1995-06-22,27,healthy,"Yaounde, Cameroon",Yaounde,Cameroon,Y,N,Once per week,-2,175.0,70.4,0,0,1,0,0,1995-06-22,175.0,70.4
vy1384mj,F,1987-07-26,35,healthy,"Pretoria, South Africa",Pretoria,South Africa,N,N,A couple of times per week,-2,177.0,65.8,0,0,0,0,0,1987-07-26,177.0,65.8
Od9569GI,F,1999-09-18,22,healthy,"Punta Arenas, Chile",Punta Arenas,Chile,Y,Y,Never,-2,169.0,60.0,0,0,1,-2,0,1999-09-18,169.0,60.0
WN4632iD,F,2004-08-30,17,healthy,"Addis Ababa, Ethiopia",Addis Ababa,Ethiopia,Y,N,Once per week,-2,170.0,66.5,0,0,1,0,0,2004-08-30,170.0,66.5
DA3300sq,F,2003-10-22,18,underweight,"Luanda, Angola",Luanda,Angola,Y,Y,A couple of times per week,-2,175.0,52.1,0,-1,1,-2,0,2003-10-22,175.0,52.1
jU8256OS,F,2003-06-09,19,healthy,"Chattogram, Bangladesh",Chattogram,Bangladesh,N,Y,1 or 2 times per month,-2,164.0,86.1,0,0,0,-2,0,2003-06-09,164.0,86.1
Kv6037NJ,F,1994-01-19,28,healthy,"Amsterdam, Netherlands",Amsterdam,Netherlands,N,Y,Every day,-2,174.0,72.7,0,0,0,-2,1,1994-01-19,174.0,72.7
rH5477Fr,F,1993-12-22,28,healthy,"Istanbul, Turkey",Istanbul,Turkey,N,Y,Every day,-2,155.0,48.1,0,0,0,-2,1,1993-12-22,155.0,48.1
nq2368Pe,F,1989-05-01,33,healthy,"Dar es Salaam, Tanzania",Dar es Salaam,Tanzania,N,N,Every other day,-2,161.0,59.6,0,0,0,0,1,1989-05-01,161.0,59.6
cn8522DE,F,1997-12-28,24,healthy,"Rabat, Morocco",Rabat,Morocco,N,N,Every day,-2,169.0,80.0,0,0,0,0,1,1997-12-28,169.0,80.0
TF1017JD,F,2004-08-18,17,healthy,"Antalya, Turkey",Antalya,Turkey,Y,N,Once per week,-2,176.0,99.1,0,0,1,0,0,2004-08-18,176.0,99.1
QU1952qm,F,1998-09-20,23,healthy,"Tehran, Iran",Tehran,Iran,N,Y,A couple of times per week,-2,160.0,48.6,0,0,0,-2,0,1998-09-20,160.0,48.6
fn0688Rw,F,2003-02-15,19,healthy,"Los Angeles, United States",Los Angeles,United States,N,Y,A couple of times per week,-2,172.0,68.0,0,0,0,-2,0,2003-02-15,172.0,68.0
Wt4817Ad,F,1991-03-08,31,healthy,"Saint Petersburg, Russia",Saint Petersburg,Russia,N,Y,A couple of times per week,-2,172.0,74.0,0,0,0,-2,0,1991-03-08,172.0,74.0
HM5157bT,F,1984-04-16,38,healthy,"New York City, United States",New York City,United States,Y,N,Every day,-2,170.0,54.9,0,0,1,0,1,1984-04-16,170.0,54.9
Bf3093Ud,F,1995-04-26,27,healthy,"New York City, United States",New York City,United States,N,N,Never,-2,170.0,66.5,0,0,0,0,0,1995-04-26,170.0,66.5
iZ5923Ds,F,1983-09-18,38,healthy,"Lagos, Nigeria",Lagos,Nigeria,N,N,Never,-2,166.0,66.1,0,0,0,0,0,1983-09-18,166.0,66.1
io9530FR,F,2005-10-18,16,healthy,"Bogota, Colombia",Bogota,Colombia,Y,Y,A couple of times per week,-2,177.0,84.6,0,0,1,-2,0,2005-10-18,177.0,84.6
Nn8871ce,F,1996-12-23,25,underweight,"Jeddah, Saudi Arabia",Jeddah,Saudi Arabia,N,N,Once per week,-2,160.0,43.5,0,-1,0,0,0,1996-12-23,160.0,43.5
uc5603fi,F,2006-08-26,15,healthy,"Camayenne, Guinea",Camayenne,Guinea,Y,Y,Never,-2,172.0,76.9,0,0,1,-2,0,2006-08-26,172.0,76.9
qT0861cZ,F,2003-05-26,19,healthy,"Bamako, Mali",Bamako,Mali,N,Y,A couple of times per week,-2,165.0,57.2,0,0,0,-2,0,2003-05-26,165.0,57.2
Jf5651qU,F,1998-12-04,23,healthy,"Cape Town, South Africa",Cape Town,South Africa,Y,Y,A couple of times per week,-2,171.0,55.6,0,0,1,-2,0,1998-12-04,171.0,55.6
HW1827Mc,F,1984-12-24,37,healthy,"Ankara, Turkey",Ankara,Turkey,N,Y,1 or 2 times per month,-2,156.0,58.4,0,0,0,-2,0,1984-12-24,156.0,58.4
zs7146bj,F,1994-05-26,28,healthy,"Sucre, Bolivia",Sucre,Bolivia,Y,N,A couple of times per week,-2,172.0,74.0,0,0,1,0,0,1994-05-26,172.0,74.0
lr4584rY,F,2003-12-20,18,healthy,"Chattogram, Bangladesh",Chattogram,Bangladesh,Y,N,Every other day,-2,157.0,54.2,0,0,1,0,1,2003-12-20,157.0,54.2
sr6207Wj,F,1999-07-15,23,healthy,"Potosi, Bolivia",Potosi,Bolivia,N,N,Never,-2,168.0,84.7,0,0,0,0,0,1999-07-15,168.0,84.7
CR0622wE,F,2001-01-22,21,healthy,"Dublin, Ireland",Dublin,Ireland,N,Y,A couple of times per week,-2,173.0,56.9,0,0,0,-2,0,2001-01-22,173.0,56.9
nK0465kL,F,1995-12-23,26,healthy,"Baghdad, Iraq",Baghdad,Iraq,N,Y,A couple of times per week,-2,171.0,55.6,0,0,0,-2,0,1995-12-23,171.0,55.6
wF8318VK,F,1987-01-27,35,healthy,"Addis Ababa, Ethiopia",Addis Ababa,Ethiopia,N,N,A couple of times per week,-2,176.0,68.1,0,0,0,0,0,1987-01-27,176.0,68.1
wJ6151wr,F,1985-07-12,37,healthy,"Dar es Salaam, Tanzania",Dar es Salaam,Tanzania,N,N,Once per week,-2,169.0,65.7,0,0,0,0,0,1985-07-12,169.0,65.7
KP1280tK,F,1999-11-07,22,healthy,"Khartoum, Sudan",Khartoum,Sudan,N,Y,Once per week,-2,168.0,76.2,0,0,0,-2,0,1999-11-07,168.0,76.2
oI4807DW,F,1986-01-04,36,healthy,"Frankfurt, Germany",Frankfurt,Germany,N,Y,A couple of times per week,-2,170.0,78.0,0,0,0,-2,0,1986-01-04,170.0,78.0
hk4613Pw,F,1997-10-22,24,healthy,"Ibadan, Nigeria",Ibadan,Nigeria,Y,N,Every other day,-2,175.0,73.5,0,0,1,0,1,1997-10-22,175.0,73.5
lN1039KK,F,1988-08-07,34,healthy,"Amsterdam, Netherlands",Amsterdam,Netherlands,Y,N,A couple of times per week,-2,167.0,58.6,0,0,1,0,0,1988-08-07,167.0,58.6
gb5679mu,F,1999-02-19,23,healthy,"Prague, Czech Republic",Prague,Czech Republic,N,N,1 or 2 times per month,-2,177.0,62.7,0,0,0,0,0,1999-02-19,177.0,62.7
Kt0553Zb,F,1984-06-19,38,healthy,"Benin City, Nigeria",Benin City,Nigeria,N,N,Every day,-2,170.0,66.5,0,0,0,0,1,1984-06-19,170.0,66.5
sC1806Ta,F,2004-09-03,17,healthy,"Valparaiso, Chile",Valparaiso,Chile,N,Y,A couple of times per week,-2,168.0,70.6,0,0,0,-2,0,2004-09-03,168.0,70.6
WR2729IX,F,2006-10-11,15,healthy,"Brazzaville, DR Congo",Brazzaville,DR Congo,N,N,Never,-2,175.0,73.5,0,0,0,0,0,2006-10-11,175.0,73.5
OL7807Nk,F,1994-10-31,27,healthy,"Punta Arenas, Chile",Punta Arenas,Chile,N,N,Once per week,-2,161.0,54.4,0,0,0,0,0,1994-10-31,161.0,54.4
EK7257Gc,F,1988-07-31,34,healthy,"Pyongyang, North Korea",Pyongyang,North Korea,Y,N,A couple of times per week,-2,167.0,55.8,0,0,1,0,0,1988-07-31,167.0,55.8
xk2615qR,F,1986-02-04,36,healthy,"Hanoi, Vietnam",Hanoi,Vietnam,Y,Y,A couple of times per week,-2,167.0,61.4,0,0,1,-2,0,1986-02-04,167.0,61.4
sq8076Gh,F,1995-06-25,27,healthy,"Kuala Lumpur, Malaysia",Kuala Lumpur,Malaysia,N,N,Never,-2,173.0,56.9,0,0,0,0,0,1995-06-25,173.0,56.9
YK7947ZR,F,2005-10-08,16,healthy,"Beijing, China",Beijing,China,Y,Y,Never,-2,167.0,69.7,0,0,1,-2,0,2005-10-08,167.0,69.7
pm8525yk,F,1995-05-23,27,healthy,"Paris, France",Paris,France,N,N,Once per week,-2,171.0,76.0,0,0,0,0,0,1995-05-23,171.0,76.0
yM3307Hq,F,2005-03-02,17,healthy,"Nice, France",Nice,France,N,Y,A couple of times per week,-2,172.0,62.1,0,0,0,-2,0,2005-03-02,172.0,62.1
of9435fU,F,1999-08-11,23,healthy,"Cairo, Egypt",Cairo,Egypt,Y,N,A couple of times per week,-2,172.0,56.2,0,0,1,0,0,1999-08-11,172.0,56.2
Kd1350kd,F,1994-02-24,28,healthy,"Ahmedabad, India",Ahmedabad,India,N,N,Every day,-2,168.0,56.4,0,0,0,0,1,1994-02-24,168.0,56.4
al2574em,F,1995-09-22,26,healthy,"Yangon, Myanmar",Yangon,Myanmar,N,Y,Every other day,-2,171.0,64.3,0,0,0,-2,1,1995-09-22,171.0,64.3
al6860iC,F,1993-01-29,29,healthy,"Warsaw, Poland",Warsaw,Poland,N,N,A couple of times per week,-2,161.0,49.2,0,0,0,0,0,1993-01-29,161.0,49.2
Ly2684xI,F,1983-10-16,38,healthy,"Warsaw, Poland",Warsaw,Poland,Y,N,Never,-2,169.0,54.3,0,0,1,0,0,1983-10-16,169.0,54.3
Al4435Em,F,1996-08-12,25,healthy,"Mogadishu, Somalia",Mogadishu,Somalia,N,N,A couple of times per week,-2,169.0,54.3,0,0,0,0,0,1996-08-12,169.0,54.3
yc5072Ow,F,1994-10-15,27,healthy,"Chattogram, Bangladesh",Chattogram,Bangladesh,N,N,A couple of times per week,-2,172.0,62.1,0,0,0,0,0,1994-10-15,172.0,62.1
LQ8062MB,F,1983-12-06,38,healthy,"Orlando, United States",Orlando,United States,N,Y,Every other day,-2,167.0,55.8,0,0,0,-2,1,1983-12-06,167.0,55.8
yX2098Rj,F,2002-06-08,20,healthy,"Yangon, Myanmar",Yangon,Myanmar,N,N,A couple of times per week,-2,172.0,71.0,0,0,0,0,0,2002-06-08,172.0,71.0
dp7047uq,F,2000-07-05,22,healthy,"Madrid, Spain",Madrid,Spain,N,N,A couple of times per week,-2,170.0,69.4,0,0,0,0,0,2000-07-05,170.0,69.4
UL7957iF,F,1992-03-02,30,healthy,"Vienna, Austria",Vienna,Austria,N,N,A couple of times per week,-2,169.0,57.1,0,0,0,0,0,1992-03-02,169.0,57.1
Ee5657Ct,F,2000-02-23,22,healthy,"Shanghai, China",Shanghai,China,N,N,Once per week,-2,174.0,66.6,0,0,0,0,0,2000-02-23,174.0,66.6
Nd3238Di,F,2002-06-02,20,healthy,"Delhi, India",Delhi,India,N,Y,A couple of times per week,-2,171.0,96.5,0,0,0,-2,0,2002-06-02,171.0,96.5
dZ6198YL,F,2003-03-05,19,healthy,"Kinshasa, Republic of the Congo",Kinshasa,Republic of the Congo,Y,Y,A couple of times per week,-2,173.0,59.9,0,0,1,-2,0,2003-03-05,173.0,59.9
lt6267aA,F,1986-12-09,35,healthy,"Ankara, Turkey",Ankara,Turkey,Y,Y,Every other day,-2,167.0,53.0,0,0,1,-2,1,1986-12-09,167.0,53.0
QR1608FL,F,1986-02-12,36,healthy,"Dakar, Senegal",Dakar,Senegal,N,Y,A couple of times per week,-2,169.0,57.1,0,0,0,-2,0,1986-02-12,169.0,57.1
DX0047ng,F,2005-06-18,17,healthy,"Copenhagen, Denmark",Copenhagen,Denmark,N,Y,1 or 2 times per month,-2,173.0,68.8,0,0,0,-2,0,2005-06-18,173.0,68.8
wL8390nk,F,2006-04-01,16,healthy,"Yokohama, Japan",Yokohama,Japan,N,N,A couple of times per week,-2,175.0,73.5,0,0,0,0,0,2006-04-01,175.0,73.5
wU7012Ci,F,2000-04-26,22,healthy,"Georgetown, Guyana",Georgetown,Guyana,N,N,1 or 2 times per month,-2,172.0,56.2,0,0,0,0,0,2000-04-26,172.0,56.2
PH6460ab,F,1984-09-13,37,healthy,"Ahmedabad, India",Ahmedabad,India,Y,N,A couple of times per week,-2,170.0,57.8,0,0,1,0,0,1984-09-13,170.0,57.8
sv3178eA,F,2001-08-16,20,healthy,"Porto, Portugal",Porto,Portugal,N,Y,A couple of times per week,-2,170.0,69.4,0,0,0,-2,0,2001-08-16,170.0,69.4
vX8572wJ,F,2005-08-02,17,healthy,"Rio de Janeiro, Brazil",Rio de Janeiro,Brazil,N,Y,1 or 2 times per month,-2,166.0,63.4,0,0,0,-2,0,2005-08-02,166.0,63.4
Tj5716fs,F,1993-01-31,29,healthy,"Busan, South Korea",Busan,South Korea,N,N,Every other day,-2,174.0,60.6,0,0,0,0,1,1993-01-31,174.0,60.6
mZ5775aY,F,1992-02-02,30,healthy,"Tokyo, Japan",Tokyo,Japan,N,N,A couple of times per week,-2,167.0,55.8,0,0,0,0,0,1992-02-02,167.0,55.8
rM1695Am,F,2005-11-11,16,healthy,"Berlin, Germany",Berlin,Germany,N,Y,A couple of times per week,-2,156.0,56.0,0,0,0,-2,0,2005-11-11,156.0,56.0
ia5999hG,F,1997-06-15,25,healthy,"Rhodes, Greece",Rhodes,Greece,N,N,Every other day,-2,159.0,75.8,0,0,0,0,1,1997-06-15,159.0,75.8
op8764LQ,F,1984-05-14,38,healthy,"Vancouver, Canada",Vancouver,Canada,Y,N,Never,-2,175.0,58.2,0,0,1,0,0,1984-05-14,175.0,58.2
Up5117LE,F,1997-11-11,24,healthy,"Antalya, Turkey",Antalya,Turkey,N,N,Every day,-2,174.0,60.6,0,0,0,0,1,1997-11-11,174.0,60.6
IN1645fn,F,1993-07-21,29,healthy,"Brisbane, Australia",Brisbane,Australia,Y,N,Every day,-2,169.0,60.0,0,0,1,0,1,1993-07-21,169.0,60.0
Wh5069zD,F,1992-02-13,30,healthy,"Bamako, Mali",Bamako,Mali,N,N,A couple of times per week,-2,173.0,71.8,0,0,0,0,0,1992-02-13,173.0,71.8
lc7637Cx,F,1987-07-16,35,healthy,"Barcelona, Spain",Barcelona,Spain,N,N,1 or 2 times per month,-2,168.0,67.7,0,0,0,0,0,1987-07-16,168.0,67.7
sx7265iu,F,2006-07-19,16,healthy,"Lahore, Pakistan",Lahore,Pakistan,N,N,Every day,-2,170.0,63.6,0,0,0,0,1,2006-07-19,170.0,63.6
Nw2742lv,F,1985-04-29,37,healthy,"Lahore, Pakistan",Lahore,Pakistan,N,Y,A couple of times per week,-2,170.0,66.5,0,0,0,-2,0,1985-04-29,170.0,66.5
QN8034Ik,F,2000-01-22,22,healthy,"Bogota, Colombia",Bogota,Colombia,N,Y,A couple of times per week,-2,169.0,62.8,0,0,0,-2,0,2000-01-22,169.0,62.8
cQ0288sX,F,1992-01-29,30,healthy,"Medellin, Colombia",Medellin,Colombia,N,N,Once per week,-2,164.0,53.8,0,0,0,0,0,1992-01-29,164.0,53.8
KT2598cY,F,1993-12-22,28,healthy,"Arequipa, Peru",Arequipa,Peru,Y,N,Never,-2,174.0,75.7,0,0,1,0,0,1993-12-22,174.0,75.7
uu9715mV,F,2004-03-02,18,healthy,"Georgetown, Guyana",Georgetown,Guyana,Y,Y,1 or 2 times per month,-2,166.0,57.9,0,0,1,-2,0,2004-03-02,166.0,57.9
oG8299aS,F,1988-07-14,34,healthy,"Harare, Zimbabwe",Harare,Zimbabwe,N,N,Never,-2,170.0,83.8,0,0,0,0,0,1988-07-14,170.0,83.8
xX0814cR,F,1983-06-19,39,healthy,"Munich, Germany",Munich,Germany,N,N,Every other day,-2,157.0,56.7,0,0,0,0,1,1983-06-19,157.0,56.7
WX9831NX,F,2006-07-08,16,healthy,"Prague, Czech Republic",Prague,Czech Republic,Y,Y,Never,-2,171.0,58.5,0,0,1,-2,0,2006-07-08,171.0,58.5
bb0660vS,F,1992-10-25,29,healthy,"Rio de Janeiro, Brazil",Rio de Janeiro,Brazil,Y,N,Every day,-2,159.0,48.0,0,0,1,0,1,1992-10-25,159.0,48.0
gI3691ar,F,1991-11-02,30,healthy,"Dubai, United Arab Emirates",Dubai,United Arab Emirates,N,N,Never,-2,173.0,62.9,0,0,0,0,0,1991-11-02,173.0,62.9
HC3534Tq,F,1988-03-04,34,healthy,"El Calafate, Argentina",El Calafate,Argentina,N,N,1 or 2 times per month,-2,171.0,55.6,0,0,0,0,0,1988-03-04,171.0,55.6
Ts8470Gn,F,1985-12-14,36,healthy,"Bamako, Mali",Bamako,Mali,N,Y,Once per week,-2,169.0,60.0,0,0,0,-2,0,1985-12-14,169.0,60.0
dK6825fZ,F,1997-01-10,25,healthy,"Casablanca, Morocco",Casablanca,Morocco,N,Y,A couple of times per week,-2,160.0,51.2,0,0,0,-2,0,1997-01-10,160.0,51.2
